tokenID,name,file_name,description,attributes[Rarity]
67,Pod #67,67.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
68,Pod #68,68.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
69,Pod #69,69.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
70,Pod #70,70.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
71,Pod #71,71.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
72,Pod #72,72.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
73,Pod #73,73.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
74,Pod #74,74.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
75,Pod #75,75.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
76,Pod #76,76.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
77,Pod #77,77.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
78,Pod #78,78.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
79,Pod #79,79.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
80,Pod #80,80.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
81,Pod #81,81.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
82,Pod #82,82.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
83,Pod #83,83.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
84,Pod #84,84.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Legendary
85,Pod #85,85.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
86,Pod #86,86.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Legendary
87,Pod #87,87.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
88,Pod #88,88.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
89,Pod #89,89.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
90,Pod #90,90.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
91,Pod #91,91.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
92,Pod #92,92.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
93,Pod #93,93.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
94,Pod #94,94.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
95,Pod #95,95.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
96,Pod #96,96.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
97,Pod #97,97.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
98,Pod #98,98.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
99,Pod #99,99.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
100,Pod #100,100.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
101,Pod #101,101.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Legendary
102,Pod #102,102.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
103,Pod #103,103.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
104,Pod #104,104.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
105,Pod #105,105.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
106,Pod #106,106.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
107,Pod #107,107.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
108,Pod #108,108.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
109,Pod #109,109.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
110,Pod #110,110.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
111,Pod #111,111.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
112,Pod #112,112.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
113,Pod #113,113.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
114,Pod #114,114.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
115,Pod #115,115.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
